date,year,month,day,name,temperature,pressure,precipitation
1/1/2014,2014,1,1,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",45.1,1022.6,0
1/2/2014,2014,1,2,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",46.3,1025.7,0
1/3/2014,2014,1,3,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",35.6,1030.5,0
1/4/2014,2014,1,4,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",49.7,1017.7,0
1/5/2014,2014,1,5,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",52.3,1015.3,0
1/6/2014,2014,1,6,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",31.1,1035.3,0
1/7/2014,2014,1,7,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",28.5,1036.8,0
1/8/2014,2014,1,8,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",44.1,1025.2,0.02
1/9/2014,2014,1,9,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",55,1019.6,0.14
1/10/2014,2014,1,10,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",64.8,1012.7,0.01
1/11/2014,2014,1,11,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",60.5,1014.8,0.09
1/12/2014,2014,1,12,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",49.9,1018.3,0
1/13/2014,2014,1,13,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",62.8,1015,0.01
1/14/2014,2014,1,14,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",49.8,1019.2,0
1/15/2014,2014,1,15,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",52.5,1027.1,0
1/16/2014,2014,1,16,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",49.2,1020.6,0
1/17/2014,2014,1,17,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",50,1024.3,0
1/18/2014,2014,1,18,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",44.5,1023.8,0
1/19/2014,2014,1,19,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",50.1,1023.5,0
1/20/2014,2014,1,20,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",53.7,1017.1,0
1/21/2014,2014,1,21,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",58,1023.7,0
1/22/2014,2014,1,22,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",44.8,1022,0
1/23/2014,2014,1,23,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",45.1,1021.3,0
1/24/2014,2014,1,24,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",29.7,1037.9,0.11
1/25/2014,2014,1,25,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",36.9,1025.8,0.05
1/26/2014,2014,1,26,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",53.6,1013.6,0
1/27/2014,2014,1,27,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",48.9,1013.8,0
1/28/2014,2014,1,28,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",33.1,1027,0.03
1/29/2014,2014,1,29,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",32.8,1031.3,0.04
1/30/2014,2014,1,30,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",40.7,1021.7,0
1/31/2014,2014,1,31,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",61.6,1012,0
2/1/2014,2014,2,1,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",68.8,1008.9,0
2/2/2014,2014,2,2,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",49.1,1015.6,0
2/3/2014,2014,2,3,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",37.4,1023.1,0.02
2/4/2014,2014,2,4,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",46.2,1014.7,0.13
2/5/2014,2014,2,5,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",42.3,1023.5,0.02
2/6/2014,2014,2,6,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",29.6,1031.6,0
2/7/2014,2014,2,7,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",30.2,1028.5,0
2/8/2014,2014,2,8,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",41.3,1022.8,0
2/9/2014,2014,2,9,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",51.4,1017.8,0
2/10/2014,2014,2,10,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",46.8,1019,0
2/11/2014,2014,2,11,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",34.7,1023,0
2/12/2014,2014,2,12,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",38.8,1022.6,0.1
2/13/2014,2014,2,13,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",42.5,1018.2,0
2/14/2014,2014,2,14,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",57.5,1012.4,0
2/15/2014,2014,2,15,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",54.6,1018.8,0
2/16/2014,2014,2,16,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",61.9,1016.2,0
2/17/2014,2014,2,17,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",67.5,1015.3,0
2/18/2014,2014,2,18,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",62.7,1016.8,0
2/19/2014,2014,2,19,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",67.1,1011.8,0
2/20/2014,2014,2,20,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",70.8,1008.1,0
2/21/2014,2014,2,21,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",55,1019.2,0
2/22/2014,2014,2,22,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",53.9,1016.1,0
2/23/2014,2014,2,23,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",68.5,1012.6,0
2/24/2014,2014,2,24,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",63.2,1016.8,0
2/25/2014,2014,2,25,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",64.5,1015.1,0.02
2/26/2014,2014,2,26,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",44.6,1020,0.06
2/27/2014,2014,2,27,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",37.8,1021.5,0.05
2/28/2014,2014,2,28,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",51.6,1012,0
3/1/2014,2014,3,1,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",60.3,1012.3,0
