section,age
SDS322E_62940,19
SDS322E_62935,19
SDS322E_62935,20
SDS322E_62895,22
SDS322E_62895,20
SDS322E_62940,19
SDS322E_62895,19
SDS322E_62930,19
SDS322E_62935,17
SDS322E_62900,20
SDS322E_62930,21
SDS322E_62900,19
SDS322E_62935,19
SDS322E_62935,20
SDS322E_62900,22
SDS322E_62940,21
SDS322E_62940,20
SDS322E_62930,20
SDS322E_62935,20
SDS322E_62895,20
SDS322E_62925,20
SDS322E_62895,20
SDS322E_62900,19
SDS322E_62900,19
SDS322E_62895,22
SDS322E_62935,18
SDS322E_62900,20
SDS322E_62930,20
SDS322E_62935,22
SDS322E_62940,20
SDS322E_62935,20
SDS322E_62900,20
SDS322E_62895,20
SDS322E_62935,20
SDS322E_62930,19
SDS322E_62935,19
SDS322E_62925,21
SDS322E_62900,19
SDS322E_62935,19
SDS322E_62930,19
SDS322E_62940,20
SDS322E_62900,18
SDS322E_62935,19
SDS322E_62895,19
SDS322E_62935,20
SDS322E_62940,20
SDS322E_62925,20
SDS322E_62940,20
SDS322E_62930,20
SDS322E_62895,20
SDS322E_62895,20
SDS322E_62925,21
SDS322E_62930,21
SDS322E_62900,20
SDS322E_62925,23
SDS322E_62900,20
SDS322E_62900,20
SDS322E_62900,18
SDS322E_62930,20
SDS322E_62940,20
SDS322E_62895,21
SDS322E_62925,21
SDS322E_62930,20
SDS322E_62940,19
SDS322E_62930,19
SDS322E_62940,21
SDS322E_62895,20
SDS322E_62925,21
SDS322E_62940,19
SDS322E_62895,20
SDS322E_62925,21
SDS322E_62925,19
SDS322E_62925,22
SDS322E_62940,20
SDS322E_62900,28
SDS322E_62895,21
SDS322E_62935,23
SDS322E_62895,21
SDS322E_62940,23
SDS322E_62935,19
SDS322E_62935,21
SDS322E_62900,19
SDS322E_62925,19
SDS322E_62930,21
SDS322E_62930,21
SDS322E_62900,21
SDS322E_62895,20
SDS322E_62935,21
SDS322E_62900,21
SDS322E_62900,20
SDS322E_62930,20
SDS322E_62895,21
SDS322E_62935,20
SDS322E_62935,20
SDS322E_62935,21
SDS322E_62935,21
SDS322E_62895,19
SDS322E_62930,21
SDS322E_62930,23
SDS322E_62900,21
SDS322E_62935,21
SDS322E_62940,21
SDS322E_62930,21
SDS322E_62925,213
SDS322E_62935,19
SDS322E_62935,18
SDS322E_62930,21
SDS322E_62900,21
SDS322E_62940,20
SDS322E_62935,28
SDS322E_62940,19
SDS322E_62900,20
SDS322E_62935,23
SDS322E_62895,21
SDS322E_62940,20
SDS322E_62925,22
SDS322E_62900,22
SDS322E_62940,19
SDS322E_62930,24
SDS322E_62930,20
SDS322E_62930,20
SDS322E_62930,21
SDS322E_62935,19
SDS322E_62930,19
SDS322E_62895,21
SDS322E_62935,17
SDS322E_62925,19
SDS322E_62930,19
SDS322E_62895,21
SDS322E_62925,21
SDS322E_62895,21
SDS322E_62895,20
SDS322E_62895,21
SDS322E_62930,21
SDS322E_62925,21
SDS322E_62940,19
SDS322E_62930,21
SDS322E_62925,20
SDS322E_62895,21
SDS322E_62940,22
SDS322E_62900,20
SDS322E_62930,26
SDS322E_62900,21
SDS322E_62935,21
SDS322E_62940,21
SDS322E_62935,20
SDS322E_62895,20
SDS322E_62895,21
