section,height
62940,60
62935,65
62935,67
62895,66
62895,62
62940,72
62895,69
62930,68
62935,64
62900,68
62930,69
62900,69
62935,69
62935,71
62900,65
62940,62
62940,5.1
62930,72
62935,62
62895,65
62925,75
62895,66
62900,62
62900,70
62895,67
62935,69
62900,60
62930,63
62935,75
62940,69
62935,67
62900,67.2
62895,69.9
62935,66
62930,70
62935,63
62925,70
62900,510
62935,64
62930,68
62940,65
62900,60
62935,66
62895,63
62935,68.5
62940,68
62925,66.5
62940,67.5
62930,74
62895,67
62895,72
62925,62
62930,71
62900,68
62925,74
62900,69
62900,70
62900,63
62930,70
62940,63
62895,73
62925,60
62930,73
62940,68
62930,61
62940,70
62895,66
62925,71
62940,66
62895,72
62925,63
62925,64
62925,67
62940,70
62900,72
62895,64
62935,69
62895,68
62940,69
62935,74
62935,70
62900,65
62925,62
62930,65
62930,66
62900,77
62895,65
62935,63
62900,64
62900,5.5
62930,69
62895,66
62935,60
62935,59
62935,72
62935,63
62895,63
62930,66
62930,65
62900,67
62935,67
62940,73
62930,180
62925,65
62935,61
62935,70
62930,72
62900,68
62940,64.5
62935,72
62940,68
62900,66
62935,67.3
62895,69
62940,65
62925,70
62900,67
62940,67
62930,67
62930,74
62930,76
62930,65
62935,64
62930,71
62895,64
62935,66
62925,64
62930,72
62895,61
62925,62
62895,61
62895,67
62895,71
62930,58
62925,59
62940,68
62930,64
62925,66
62895,69
62940,63
62900,67
62930,75
62900,71
62935,69
62940,67
62935,64
62895,63
62895,71
62940,75
62930,70.1
62895,65
62900,63
62895,63
62930,67
62940,68
62925,66
62900,64
62930,71
62925,63
62925,72
62925,74
62930,67
62930,69
62935,67
62895,63
62940,62
62940,62
62925,65
62940,63.78
62930,68
62935,67.7
62930,185
62930,68
62925,63
62925,60
62900,65
62900,65
62900,75
62940,63
62925,72
62940,63
62935,65
62895,69
62925,74
62925,65
62925,74
62940,69
62900,63
62940,72
62895,62.5
62900,60
62930,71
62930,69
62900,6
62940,70
62895,60
62895,64
62900,64
62925,67
62940,66
62895,69
62895,64
62925,71
62940,61
62935,60
62925,68
62895,66
62900,63
62900,70
62900,76
62940,66
62930,68
62900,68
62930,72
62925,64
62930,68
62940,71
62900,62
62895,67
62930,69
62925,64
62925,72
62935,75
62940,70
62925,67
62925,64
62895,69
62925,71
62925,62
62895,67
62925,64
62900,67
62940,65
62895,0
62925,60
62925,69
62935,70
62935,67
62930,68
62940,78
62930,65
62930,67
62900,69
62900,63
62930,56
62935,66
62935,70
62935,61
62940,66
62930,72
62935,65
62895,62
62900,69
62940,66
62900,63
62900,60
62925,72
62925,62
62930,64
62935,70
62935,67
62900,76
62930,65
62925,67
62930,61
62895,67
62900,63
62940,67
62925,65
62935,65
62900,64
62895,65
62935,60
62895,80
62935,77
62940,71
62940,69
62940,67
62930,64
62895,68
62895,63
62895,69
62895,63
62935,67.5
