station,date,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/1/2000,8.95,0,0,56,78,33,348
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/2/2000,10.29,0,0,68,76,59,314
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/3/2000,12.75,0,0,62,73,51,605
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/4/2000,12.08,0,0,39,56,22,616
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/5/2000,6.26,0,0,38,61,14,616
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/6/2000,5.37,0.13,0,49,68,29,357
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/7/2000,11.63,2.46,0,52,54,50,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/8/2000,5.37,0.43,0,53,63,43,360
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/9/2000,7.16,0,0,56,76,35,614
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/10/2000,6.71,0,0,55,80,30,619
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/11/2000,6.04,0,0,55,76,33,620
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/12/2000,10.29,0,0,69,80,57,303
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/13/2000,12.08,0,0,59,71,47,605
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/14/2000,8.28,0,0,56,68,44,583
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/15/2000,8.28,0,0,59,75,42,467
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/16/2000,8.5,0,0,62,77,47,472
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/17/2000,6.49,0,0,64,79,48,431
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/18/2000,8.72,0,0,69,83,54,586
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/19/2000,8.28,0,0,65,86,43,581
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/20/2000,16.78,0,0,52,64,39,622
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/21/2000,6.71,0,0,47,61,32,159
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/22/2000,10.29,0,0,63,74,52,372
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/23/2000,9.62,0,0,59,74,44,548
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/24/2000,7.61,0,0,48,59,37,567
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/25/2000,8.05,0,0,46,61,31,560
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/26/2000,10.29,0,0,45,47,42,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/27/2000,14.32,0.67,0,40,44,35,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/28/2000,16.11,0,0,34,36,32,0
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/29/2000,10.74,0,0,34,41,26,369
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/30/2000,7.16,0,0,34,47,20,546
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/31/2000,5.14,0,0,48,54,41,236
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/1/2000,9.17,0.13,0,49,52,46,61
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/2/2000,7.38,0.04,0,48,53,42,244
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/3/2000,5.82,0,0,53,73,32,628
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/4/2000,16.33,0,0,50,62,38,650
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/5/2000,5.82,0,0,44,58,29,652
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/6/2000,6.04,0,0,47,66,27,474
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/7/2000,5.82,0,0,59,74,43,501
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/8/2000,2.68,0,0,54,75,33,656
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/9/2000,12.75,0,0,57,75,38,318
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/10/2000,10.74,0,0,70,82,58,453
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/11/2000,5.14,0,0,59,71,47,390
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/12/2000,8.95,0,0,57,66,47,291
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/13/2000,7.61,0,0,65,83,47,537
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/14/2000,7.61,0,0,58,73,42,654
