Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
20-00039267,Coyote Complaints,Phone,Closed,01/31/2020 04:37:47 PM,01/31/2020 03:51:52 PM,01/31/2020 04:37:48 PM,01/31/2020 04:37:47 PM,"4900 FAIRVIEW DR, AUSTIN, TX 78731",4900,FAIRVIEW,AUSTIN,78731,TRAVIS,3108561.62322980,10093515.44341400,30.33100236,-97.75935197,"(30.33100236, -97.75935197)",10,554D,MH27
20-00471391,Coyote Complaints,Phone,Closed,11/23/2020 11:07:23 AM,11/17/2020 12:40:52 AM,11/23/2020 11:07:23 AM,11/23/2020 11:07:23 AM,"130 CUMBERLAND RD, AUSTIN, TX 78704",130,CUMBERLAND,AUSTIN,78704,TRAVIS,3109846.41397493,10059088.15759130,30.23628494,-97.75780693,"(30.23628494, -97.75780693)",3,614V,MH19
20-00020345,Coyote Complaints,Phone,Closed,01/17/2020 09:19:29 AM,01/16/2020 05:33:41 PM,01/17/2020 09:19:29 AM,01/17/2020 09:19:29 AM,"2312 RIVERSIDE FARMS RD, AUSTIN, TX 78741",2312,RIVERSIDE FARMS,AUSTIN,78741,TRAVIS,3122445.27386985,10055363.83869230,30.22523926,-97.71819936,"(30.22523926, -97.71819936)",3,645D,MK18
19-00490231,Coyote Complaints,Phone,Closed,12/31/2019 10:29:25 AM,12/29/2019 10:23:02 PM,12/31/2019 10:29:25 AM,12/31/2019 10:29:25 AM,"ROBERT BROWNING ST & EBERLY ST, AUSTIN, TX",,ROBERT BROWNING ST & EBERLY ST,AUSTIN,78723,TRAVIS,3128649.89816539,10082262.69247500,30.29877677,-97.69654084,"(30.29877677, -97.69654084)",9,556X,ML25
20-00020524,Coyote Complaints,Phone,Closed,01/17/2020 08:58:27 AM,01/16/2020 09:36:41 PM,01/17/2020 08:58:27 AM,01/17/2020 08:58:27 AM,"EDGEWOOD AVE & LAFAYETTE AVE, AUSTIN, TX",,EDGEWOOD AVE & LAFAYETTE AVE,AUSTIN,78722,TRAVIS,3121656.49854657,10078681.00051500,30.28938512,-97.7189612,"(30.28938512, -97.7189612)",9,585H,MK24
22-00221290,Coyote Complaints,Phone,Closed,08/08/2022 04:42:43 PM,06/23/2022 12:55:35 PM,08/08/2022 04:42:44 PM,08/08/2022 04:42:43 PM,"7202 MEADOWOOD DR, AUSTIN, TX 78723",7202,MEADOWOOD,AUSTIN,78723,TRAVIS,3136602.49872065,10090462.99983400,30.32079712,-97.670727,"(30.32079712, -97.670727)",1,556H,MM27
20-00020707,Coyote Complaints,Phone,Closed,01/17/2020 09:22:30 AM,01/17/2020 08:15:42 AM,01/17/2020 09:22:30 AM,01/17/2020 09:22:30 AM,"3307 TOM GREEN ST, AUSTIN, TX 78705",3307,TOM GREEN,AUSTIN,78705,TRAVIS,3117263.77213861,10081127.47808430,30.29639318,-97.73269395,"(30.29639318, -97.73269395)",9,585B,MJ24
22-00139662,Coyote Complaints,Phone,Closed,05/05/2022 01:11:18 PM,04/24/2022 03:01:51 PM,05/05/2022 01:11:18 PM,05/05/2022 01:11:18 PM,"800 TOTIS RD, AUSTIN, TX 78748",800,TOTIS,AUSTIN,78748,TRAVIS,3093943.01910232,10034132.83011930,30.16868846,-97.80994642,"(30.16868846, -97.80994642)",5,673Q,MF14
20-00021248,Coyote Complaints,Phone,Closed,01/17/2020 01:46:42 PM,01/17/2020 01:26:00 PM,01/17/2020 01:46:42 PM,01/17/2020 01:46:42 PM,"2429 WOOLDRIDGE DR, AUSTIN, TX 78703",2429,WOOLDRIDGE,AUSTIN,78703,TRAVIS,3111081.42259830,10079548.67595960,30.29244916,-97.75239409,"(30.29244916, -97.75239409)",9,584D,MH24
21-00026824,Coyote Complaints,Phone,Closed,01/21/2021 11:37:20 AM,01/19/2021 09:51:42 AM,01/21/2021 11:37:20 AM,01/21/2021 11:37:20 AM,"1900 SCOFIELD RIDGE PKWY 4502, AUSTIN, TX 78727",1900,SCOFIELD RIDGE,AUSTIN,78727,TRAVIS,3131559.20870758,10129323.08756770,30.42794764,-97.6837734,"(30.42794764, -97.6837734)",7,466G,MM36
20-00206305,Coyote Complaints,Phone,Closed,05/27/2020 12:55:53 PM,05/25/2020 07:09:17 PM,05/27/2020 12:55:53 PM,05/27/2020 12:55:53 PM,"5401 CUESTA VERDE, AUSTIN, TX 78746",5401,CUESTA VERDE,AUSTIN,78746,TRAVIS,3096889.50130112,10093080.99839740,30.33054533,-97.79637122,"(30.33054533, -97.79637122)",,553D,MF27
19-00446201,Coyote Complaints,Phone,Closed,12/02/2019 01:58:50 PM,11/21/2019 05:06:00 PM,12/02/2019 01:58:50 PM,12/02/2019 01:58:50 PM,"11250 TAYLOR DRAPER LN, AUSTIN, TX 78759",11250,TAYLOR DRAPER,AUSTIN,78759,TRAVIS,3110440.74831363,10122207.99782940,30.40975464,-97.75128644,"(30.40975464, -97.75128644)",10,464V,MH34
