Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
23-00001472,Coyote Complaints,Phone,Closed,01/10/2023 12:58:04 PM,01/02/2023 12:56:53 PM,01/10/2023 12:58:04 PM,01/10/2023 12:58:04 PM,"1600 SOUTHGATE CIR B, AUSTIN, TX 78704",1600,SOUTHGATE,AUSTIN,78704,TRAVIS,3103127.75059791,10058065.00023470,30.23389833,-97.77915117,"(30.23389833, -97.77915117)",5,614T,MG19
23-00002238,Coyote Complaints,Phone,Closed,01/04/2023 01:30:17 PM,01/03/2023 07:54:26 AM,01/04/2023 01:30:17 PM,01/04/2023 01:30:17 PM,"3204 MENCHACA RD, AUSTIN, TX 78704",3204,MENCHACA,AUSTIN,78704,TRAVIS,3101962.50156427,10060358.00148220,30.24027498,-97.78267354,"(30.24027498, -97.78267354)",5,614N,MG20
23-00002239,Coyote Complaints,Phone,Closed,01/04/2023 01:33:19 PM,01/03/2023 07:55:01 AM,01/04/2023 01:33:19 PM,01/04/2023 01:33:19 PM,"3204 MENCHACA RD, AUSTIN, TX 78704",3204,MENCHACA,AUSTIN,78704,TRAVIS,3101962.50156427,10060358.00148220,30.24027498,-97.78267354,"(30.24027498, -97.78267354)",5,614N,MG20
23-00003607,Coyote Complaints,Phone,Closed,01/05/2023 01:02:16 PM,01/03/2023 06:26:29 PM,01/05/2023 01:02:16 PM,01/05/2023 01:02:16 PM,"3427 PARKER LN, AUSTIN, TX 78741",3427,PARKER,AUSTIN,78741,TRAVIS,3114869.49952235,10053215.29614140,30.21982067,-97.74233816,"(30.21982067, -97.74233816)",3,645E,MJ18
23-00003732,Coyote Complaints,Phone,Closed,01/04/2023 09:13:34 AM,01/03/2023 09:57:07 PM,01/04/2023 09:13:33 AM,01/04/2023 09:13:34 AM,"5125 CONVICT HILL RD, AUSTIN, TX 78749",5125,CONVICT HILL,AUSTIN,78749,TRAVIS,3079321.45158951,10051594.49201540,30.2175922,-97.85497257,"(30.2175922, -97.85497257)",8,642F,MC18
23-00004999,Coyote Complaints,Phone,Closed,01/06/2023 10:33:03 AM,01/04/2023 05:02:43 PM,01/06/2023 10:33:03 AM,01/06/2023 10:33:03 AM,"12808 TOMANET TRL, AUSTIN, TX 78727",12808,TOMANET,AUSTIN,78727,TRAVIS,3127234.24961209,10127631.99828280,30.42358159,-97.69761941,"(30.42358159, -97.69761941)",7,466K,ML35
23-00009742,Coyote Complaints,Phone,Closed,01/10/2023 01:22:20 PM,01/08/2023 12:33:57 PM,01/10/2023 01:22:20 PM,01/10/2023 01:22:20 PM,"9001 N FM 620 RD, AUSTIN, TX 78726",9001,620,Austin,78726,TRAVIS,3081783.68102219,10128795.44910090,30.42965962,-97.84170495,"(30.42965962, -97.84170495)",10,462H,MD36
23-00010585,Coyote Complaints,Phone,Closed,01/09/2023 10:06:50 AM,01/09/2023 09:37:42 AM,01/09/2023 10:06:50 AM,01/09/2023 10:06:50 AM,"9001 N FM 620 RD, AUSTIN, TX 78726",9001,620,Austin,78726,TRAVIS,3081783.68102219,10128795.44910090,30.42965962,-97.84170495,"(30.42965962, -97.84170495)",10,462H,MD36
23-00013613,Coyote Complaints,Phone,Closed,01/11/2023 10:59:16 AM,01/11/2023 01:21:31 AM,01/11/2023 10:59:16 AM,01/11/2023 10:59:16 AM,"10010 ANDERSON MILL RD, AUSTIN, TX 78750",10010,ANDERSON MILL,AUSTIN,78750,WILLIAMSON,3094982.44079256,10135595.05760180,30.44753141,-97.79934508,"(30.44753141, -97.79934508)",6,433V,MF37
23-00014813,Coyote Complaints,Phone,Closed,01/11/2023 04:34:47 PM,01/11/2023 03:26:35 PM,01/11/2023 04:34:47 PM,01/11/2023 04:34:47 PM,"1206 YAUPON VALLEY RD, WEST LAKE HILLS, TX 78746",1206,YAUPON VALLEY,WEST LAKE HILL,78746,TRAVIS,3090280.48828630,10080862.11116270,30.29736958,-97.81819016,"(30.29736958, -97.81819016)",,553X,ME25
23-00015263,Coyote Complaints,Phone,Closed,01/12/2023 02:20:51 PM,01/11/2023 09:35:37 PM,01/12/2023 02:20:51 PM,01/12/2023 02:20:51 PM,"EVEREST LN & ARROWWOOD DR, AUSTIN, TX",,EVEREST LN & ARROWWOOD DR,AUSTIN,78727,TRAVIS,3118049.17406391,10126051.33992900,30.41983162,-97.72687107,"(30.41983162, -97.72687107)",7,465Q,MK35
23-00016901,Coyote Complaints,Phone,Closed,01/13/2023 10:30:01 AM,01/12/2023 10:54:53 PM,01/13/2023 10:30:01 AM,01/13/2023 10:30:01 AM,"8515 BRODIE LN, AUSTIN, TX 78745",8515,BRODIE,AUSTIN,78745,TRAVIS,3084353.00089967,10044808.96058980,30.19863036,-97.83952822,"(30.19863036, -97.83952822)",5,642V,MD16
23-00018045,Coyote Complaints,Phone,Closed,01/18/2023 01:12:09 PM,01/13/2023 04:31:41 PM,01/18/2023 01:12:09 PM,01/18/2023 01:12:09 PM,"3915 VALLEY VIEW RD A, AUSTIN, TX 78704",3915,VALLEY VIEW,AUSTIN,78704,TRAVIS,3101816.08119347,10057504.94198090,30.23244154,-97.78334418,"(30.23244154, -97.78334418)",5,614W,MG19
23-00018654,Coyote Complaints,Phone,Closed,01/18/2023 01:18:11 PM,01/14/2023 10:02:11 AM,01/18/2023 01:18:11 PM,01/18/2023 01:18:11 PM,"4003 VALLEY VIEW RD, AUSTIN, TX 78704",4003,VALLEY VIEW,AUSTIN,78704,TRAVIS,3101688.25222415,10057491.00178460,30.23241128,-97.78374986,"(30.23241128, -97.78374986)",5,614W,MG19
23-00019717,Coyote Complaints,Phone,Closed,01/17/2023 10:54:09 AM,01/15/2023 11:13:48 AM,01/17/2023 10:54:09 AM,01/17/2023 10:54:09 AM,"8901 DEER HAVEN RD, AUSTIN, TX 78737",8901,DEER HAVEN,AUSTIN,78737,TRAVIS,3062746.79175769,10054076.05092320,30.22541834,-97.90726428,"(30.22541834, -97.90726428)",,641A,MA18
