age,gender,ethnicity,gameplayFreq,gambling,esports,token,simulated,real_money,lootbox,problem_gambling,gaming_disorder,mainGame
38,0,1,1,11,0,0,0,0,0,1,0,Worms
50,0,0,1,6,0,0,0,0,1,0,0,World of Warcraft
32,0,0,1,6,0,0,0,0,0,0,0,World of Warcraft
38,0,0,1,9,0,0,1,0,0,0,0,Wordscapes
60,0,0,1,0,0,0,0,0,1,0,0,WordMix
58,0,0,1,3,0,0,0,0,1,0,0,Word Wipe
38,0,0,1,5,0,0,0,0,1,0,0,Word Hero
45,0,0,1,3,0,0,0,0,0,0,0,War is rising
35,0,0,1,4,0,0,0,0,1,0,0,Tony Hawks project 8
64,0,1,1,4,0,0,0,0,1,0,0,The Simpsons Tapped Out
35,0,0,1,4,0,0,0,0,0,1,0,The Simpsons Tapped Out
40,0,0,1,8,1,0,0,0,1,0,0,tetris
43,0,1,0,0,0,0,0,0,1,0,0,Street Fighter
58,0,0,1,1,0,0,0,0,1,0,0,Stick cricket
34,0,0,1,11,0,0,0,0,0,0,0,star wars galaxy of heroes
63,0,0,0,10,0,0,0,0,1,0,0,spider solitaire
37,0,1,0,9,1,0,1,1,1,0,0,Solitaire
62,0,0,0,4,0,0,0,0,1,0,0,Solitaire
56,0,0,1,10,0,0,0,0,1,1,0,Skyrim SE
36,0,0,1,9,0,0,0,0,1,1,0,Rocksmith 2014
53,0,0,0,0,0,0,0,0,1,0,0,Red Dead Redmption 2
32,0,0,1,7,0,0,0,0,0,0,0,Red dead redemption 2
70,0,0,1,7,0,0,0,0,1,1,0,Red Dead Redemption
62,0,0,1,4,0,0,0,0,0,0,0,red dead redemption
18,0,0,1,6,0,0,0,1,0,0,0,Rainbow six siege
48,0,0,1,8,0,0,1,0,0,0,0,Rainbow 6 Seige
25,0,1,1,1,0,0,0,0,1,0,0,PUBG
31,0,1,0,2,0,0,0,0,1,1,0,Pokemon Go
61,0,0,1,1,0,0,0,0,1,0,0,plants v zombies 2
20,0,1,1,1,0,0,0,0,0,0,0,Path of Exile
37,0,0,1,6,0,0,0,0,0,0,0,overwatch
47,0,0,0,1,0,0,0,0,1,0,0,NA
56,0,0,1,7,0,0,0,0,1,0,0,NA
60,0,0,0,0,0,0,0,0,1,0,0,Na
51,0,0,0,4,0,0,0,0,1,0,0,Na
72,0,0,0,2,0,0,0,0,1,0,0,Na
59,0,0,0,4,0,0,0,0,1,1,0,na
45,0,0,0,2,0,0,0,0,1,1,0,na
60,0,0,0,0,0,0,0,0,1,0,0,N\A
58,0,0,0,5,0,0,0,0,1,0,0,N\A
67,0,0,0,1,0,0,0,0,1,0,0,N/A
26,0,0,0,3,0,0,0,0,1,0,0,N/A
58,0,0,0,7,0,0,0,0,1,0,0,N/A
23,0,1,1,4,0,0,1,1,0,1,0,N/A
55,0,0,0,3,0,0,0,0,1,0,0,N/A
65,0,0,0,0,0,0,0,0,1,0,0,N/A
52,0,0,1,5,0,0,0,0,0,0,0,N/A
58,0,0,0,3,0,0,0,0,1,0,0,N/A
55,0,0,1,7,0,0,0,0,1,0,0,N/A
54,0,0,0,0,0,0,0,0,1,0,0,N/A
64,0,0,0,6,0,0,0,0,1,0,0,N/A
38,0,1,0,0,0,0,0,0,0,1,0,N/A
53,0,0,0,0,0,0,0,0,1,0,0,N/A
43,0,0,1,5,0,0,1,0,0,1,0,N/A
57,0,0,0,8,0,0,0,0,1,1,0,N/A
57,0,0,0,7,0,0,0,0,1,0,0,N/A
48,0,0,0,2,0,0,0,0,1,0,0,N/A
54,0,0,0,3,0,0,0,0,1,0,0,N/A
54,0,0,0,6,0,0,0,0,1,0,0,N/A
63,0,0,0,1,0,0,0,0,1,0,0,N/A
74,0,0,0,5,0,0,0,0,1,1,0,N/A
61,0,0,0,4,0,0,0,0,1,1,0,N/A
58,0,0,0,5,0,0,0,0,1,0,0,N/A
65,0,0,0,6,0,0,0,0,1,0,0,N/A
60,0,0,1,1,0,0,0,0,0,0,0,N/A
64,0,0,0,3,0,0,0,0,1,0,0,N/A
70,0,0,0,2,0,0,0,0,1,0,0,N/A
