experiment,temperature,time,color_change,type,measure
1,125,15,81.05,fosa,whole
2,125,25,76.81,fosa,whole
3,125,35,76.32,fosa,whole
4,125,45,74.56,fosa,whole
5,125,55,73.55,fosa,whole
6,135,13,79.33,fosa,whole
7,135,22,78.51,fosa,whole
8,135,31,75.7,fosa,whole
9,135,40,73.84,fosa,whole
10,135,50,71.87,fosa,whole
11,145,12,80.74,fosa,whole
12,145,20,77.81,fosa,whole
13,145,28,73.7,fosa,whole
14,145,36,72.11,fosa,whole
15,145,45,68.07,fosa,whole
16,155,11,79.94,fosa,whole
17,155,18,77.26,fosa,whole
18,155,25,73.3,fosa,whole
19,155,32,70.71,fosa,whole
20,155,40,67.1,fosa,whole
21,165,10,79.83,fosa,whole
22,165,15,77.89,fosa,whole
23,165,20,75.64,fosa,whole
24,165,25,73.7,fosa,whole
25,165,30,68.41,fosa,whole
1,125,15,74.14,fosa,ground
2,125,25,74.9,fosa,ground
3,125,35,74.59,fosa,ground
4,125,45,72.63,fosa,ground
5,125,55,72.22,fosa,ground
6,135,13,75.36,fosa,ground
7,135,22,73.63,fosa,ground
8,135,31,72.13,fosa,ground
9,135,40,70.65,fosa,ground
10,135,50,69,fosa,ground
11,145,12,74.6,fosa,ground
12,145,20,72.12,fosa,ground
13,145,28,69.89,fosa,ground
14,145,36,67.98,fosa,ground
15,145,45,64.89,fosa,ground
16,155,11,75.11,fosa,ground
17,155,18,71.95,fosa,ground
18,155,25,67.73,fosa,ground
19,155,32,65.63,fosa,ground
20,155,40,63.13,fosa,ground
21,165,10,76.12,fosa,ground
22,165,15,73.61,fosa,ground
23,165,20,70.22,fosa,ground
24,165,25,67.04,fosa,ground
25,165,30,64.55,fosa,ground
1,125,15,79.46,palaz,whole
2,125,25,75.97,palaz,whole
3,125,35,74.27,palaz,whole
4,125,45,73.6,palaz,whole
5,125,55,72.08,palaz,whole
6,135,13,78.77,palaz,whole
7,135,22,76,palaz,whole
8,135,31,75.24,palaz,whole
9,135,40,74.24,palaz,whole
10,135,50,69.75,palaz,whole
11,145,12,78.26,palaz,whole
12,145,20,76.33,palaz,whole
13,145,28,74.99,palaz,whole
14,145,36,70.7,palaz,whole
15,145,45,68.55,palaz,whole
16,155,11,78.77,palaz,whole
17,155,18,76.3,palaz,whole
18,155,25,73.7,palaz,whole
19,155,32,70.36,palaz,whole
20,155,40,67.83,palaz,whole
21,165,10,78.19,palaz,whole
22,165,15,75.88,palaz,whole
23,165,20,73.72,palaz,whole
24,165,25,71.92,palaz,whole
25,165,30,68.72,palaz,whole
1,125,15,74.65,palaz,ground
2,125,25,74.12,palaz,ground
3,125,35,72.48,palaz,ground
4,125,45,71.03,palaz,ground
5,125,55,70.43,palaz,ground
6,135,13,73.46,palaz,ground
7,135,22,71.75,palaz,ground
8,135,31,71.57,palaz,ground
9,135,40,70.03,palaz,ground
10,135,50,68.8,palaz,ground
11,145,12,72.83,palaz,ground
12,145,20,71.64,palaz,ground
13,145,28,70.17,palaz,ground
14,145,36,67.84,palaz,ground
15,145,45,65.54,palaz,ground
16,155,11,74.4,palaz,ground
17,155,18,72.17,palaz,ground
18,155,25,69.97,palaz,ground
19,155,32,67.03,palaz,ground
20,155,40,64.49,palaz,ground
21,165,10,73.21,palaz,ground
22,165,15,72.38,palaz,ground
23,165,20,70.92,palaz,ground
24,165,25,66.82,palaz,ground
25,165,30,63.7,palaz,ground
1,125,15,78.32,tombul,whole
2,125,25,76.83,tombul,whole
3,125,35,74.75,tombul,whole
4,125,45,72.71,tombul,whole
5,125,55,70.44,tombul,whole
6,135,13,77.69,tombul,whole
7,135,22,76.98,tombul,whole
8,135,31,75.93,tombul,whole
9,135,40,71.81,tombul,whole
10,135,50,70.24,tombul,whole
11,145,12,78.76,tombul,whole
12,145,20,76.68,tombul,whole
13,145,28,75.98,tombul,whole
14,145,36,73.62,tombul,whole
15,145,45,70.41,tombul,whole
16,155,11,79.13,tombul,whole
17,155,18,76.49,tombul,whole
18,155,25,73.96,tombul,whole
19,155,32,72.44,tombul,whole
20,155,40,68.54,tombul,whole
21,165,10,78.54,tombul,whole
22,165,15,76.2,tombul,whole
23,165,20,73.76,tombul,whole
24,165,25,71.79,tombul,whole
25,165,30,70.08,tombul,whole
1,125,15,72.72,tombul,ground
2,125,25,71.69,tombul,ground
3,125,35,70.99,tombul,ground
4,125,45,70.01,tombul,ground
5,125,55,69.14,tombul,ground
6,135,13,72.23,tombul,ground
7,135,22,71.6,tombul,ground
8,135,31,71.05,tombul,ground
9,135,40,68.58,tombul,ground
10,135,50,67.52,tombul,ground
11,145,12,71.61,tombul,ground
12,145,20,71.2,tombul,ground
13,145,28,69.49,tombul,ground
14,145,36,69.04,tombul,ground
15,145,45,65.24,tombul,ground
16,155,11,72.59,tombul,ground
17,155,18,70.62,tombul,ground
18,155,25,68.2,tombul,ground
19,155,32,65.18,tombul,ground
20,155,40,62.42,tombul,ground
21,165,10,72.11,tombul,ground
22,165,15,71,tombul,ground
23,165,20,69.01,tombul,ground
24,165,25,65.28,tombul,ground
25,165,30,64,tombul,ground
