id,state,county,city,value,zcta,lat,lon,pov,CMAQ,zcta_pop
1003.001,Alabama,Baldwin,Fairhope,9.597647059,36532,30.498001,-87.881412,6.1,8.098836034,27829
1027.0001,Alabama,Clay,Ashland,10.8,36251,33.281261,-85.802182,19.5,9.76620814,5103
1033.1002,Alabama,Colbert,Muscle Shoals,11.21217391,35660,34.758781,-87.650562,19,9.402678817,9042
1049.1003,Alabama,DeKalb,Crossville,11.65909091,35962,34.287627,-85.968298,13.8,8.534772474,8300
1055.001,Alabama,Etowah,Gadsden,12.37539432,35901,33.993749,-85.991072,8.8,9.241743625,20045
1069.0003,Alabama,Houston,Dothan,10.50884956,36303,31.226359,-85.390768,15.6,9.121892443,30217
1073.0023,Alabama,Jefferson,Birmingham,15.59101655,35207,33.553056,-86.815,25.5,10.23561168,9010
1073.1005,Alabama,Jefferson,Not in a city,12.39935484,35111,33.331111,-87.003611,7.3,10.23561168,16140
1073.1009,Alabama,Jefferson,Not in a city,11.1037037,35444,33.459722,-87.305556,8.1,8.161788618,3699
1073.101,Alabama,Jefferson,Leeds,13.11454545,35094,33.545278,-86.549167,10.5,9.303765525,14212
1073.2003,Alabama,Jefferson,Birmingham,14.5502381,35064,33.499722,-86.924167,18.1,10.23561168,11458
1073.2006,Alabama,Jefferson,Hoover,12.228125,35244,33.386389,-86.816667,2.1,10.23561168,32390
1073.5002,Alabama,Jefferson,Pinson,11.95194805,35126,33.704722,-86.669167,5.1,9.303765525,21725
1073.5003,Alabama,Jefferson,Not in a city,11.775,35180,33.801667,-86.9425,13.3,8.816101285,13794
1089.0014,Alabama,Madison,Huntsville,12.23294118,35802,34.68767,-86.58637,5.2,9.343610807,21297
1097.0003,Alabama,Mobile,Chickasaw,10.03211009,36611,30.769941,-88.087526,23.2,8.654895078,6106
1097.2005,Alabama,Mobile,Theodore,9.565934066,36582,30.474674,-88.14114,18.4,9.495926357,24624
1101.0007,Alabama,Montgomery,Montgomery,11.99786667,36110,32.425833,-86.285278,23,10.21943258,12997
1103.0011,Alabama,Morgan,Decatur,11.37372881,35603,34.518735,-86.976939,8.3,8.821747755,30545
1113.0001,Alabama,Russell,Phenix City,13.16314554,31901,32.4722,-85.0051,37.7,9.774143543,8638
1117.0006,Alabama,Shelby,Pelham,11.56271186,35124,33.312927,-86.821104,2.7,10.23561168,23020
1121.0002,Alabama,Talladega,Childersburg,12.1953271,35044,33.279747,-86.349438,18.8,10.25765171,7713
