learn,fun,expectations
To understand more about programming and learn more about R.,I like to paint.,
I would like to have a better in depth understanding of statistics and how it may be applicable to my career.,I love to play with my great pyrenees puppy (who is already over 100 pounds!) and read or sleep in my off time. I also love hiking and exploring.,I would love for the instructor to be clear as I am electronically deficient.  
Calculator short cuts,Hang out with friends and family,Teach the class in a way we can understand
EDA / Classification,"Working out, cooking, algo trading",Thorough knowledge of course material and transparency about potential knowledge gaps
"Python! I learned how to do data analysis in your SDS 328M class in R coding, and I'm interested (and also a bit apprehensive) about learning how to run statistical modeling in python because I have little experience with coding languages.","I love playing volleyball - I'm a really big fan of UT women's volleyball, and I play as often as I can, including in the intramural leagues. I also play violin, and I'm starting to pickup the guitar. I remember in my freshman year in your class, I saw that you had a guitar hanging in the back of your room, so I hope that maybe I'll get to hear you play a bit this year. No pressure! I just think it'd be really cool to hear you play.","I just expect to learn a lot from Dr. Guyot, and I'm looking forward to taking another stats class from her."
"I am not sure, but I am excited for this class!",Going to Texercise classes at UT!,Just to be kind to us as we try and navigate yet another weird semester!
I would like to get better programming in R and Python! I have learned a little bit in previous classes but I would like to go more in-depth on how to utilize these programs from this class.  ,"I like to travel, shop, watch movies, and listen to music.",To be detailed about instructions and to set a tone for a welcoming learning environment.  
I want to relearn how to use R studio to analyze data. I found this very fascinating whenever learning coding for the first time during biostatistics.  ,I love playing basketball and tennis.,"I would love the class to be engaging in any new, creative way. I would love to see how we can apply coding into this class and further extend our knowledge for the future."
"SQL, Python, R, machine learning stuffs",frisbee,Skills for DS
I would like to learn how to use advanced statistical methods and programs efficiently and how to apply the use of those programs and methods in real-life situations. I am also looking forward to learning at least a little of Python.,"For fun, I enjoy dancing, reading, making playlists for my friends on Spotify, watching new shows, and playing with my chihuahua, Tiger!","I am excited for this course, and expect the instructor to have the same excitement! I hope Dr. Guyot is passionate about this course and is also passionate about ensuring her students are learning and understanding the material. I know this semester looks very uncertain right now amidst COVID and other things, and I hope Dr. Guyot is accommodating towards these changes!"
I would like to become better acquainted with R.,I like to play with my dog.  ,"As using R and similar programs can be very difficult when first starting out, going over the introduction of this slowly could be helpful as it has been a couple of years since I have dealt with these programs.  "
data wrangling and how to use Rstudio,i live painting,to be helpful and clear about expectations  
I'm hoping to get familiar with the basics of data science in order to apply it on my own projects or pursue further classes.,I like to write when I have free time.,I expect the instructor to present the material in a lucid way and to be available for questions.
Advanced Rstudio skills that will help me do medical research and biostatistics,Run and spar in Jiu Jitsu,I expect clear instruction and communication. I hope to have reasonable expectations placed upon me. I will need my instructor to be available enough for me to get any questions I need answered.
The ability to use R.,I like to play video games and watch movies and shows when I am free.,I expect to receive a comprehensive and in-depth study of language R from the instructor this semester.
I want to learn how to code!,I like to listen to music and hang out with my friends.  ,Just to follow through with the syllabus and much as possible would be great!
Learn how to code  ,I like to travel  ,To attend class and focus on the material being taught  
Mostly how to apply R in order to use for research!,"Reading, Finding new music, making music","I'd love for things to be clearly defined more than anything, outside of that just being available for questions!"
"Content / tools/ skills  

I would like to be more efficient in Rstudio and get an introduction into python.  ",I like to just waste away on social media.  ,I hope I do not get judged for not knowing everything right off the bat. I would like to be able to ask questions and not feel bad for not understanding the material the first time around.  
I would like to learn how to better manipulate R and coding programs to analyze data,"Read, hike, swim",Able to help during office hours and homework help including coding help
Being comfortable using R studio.,Exercise.,I've loved my other computational classes as long as the professor is clear and doesn't leave too much for the student to figure out.
I am very interested in using python with Rstudio. I am a Full Stack Web Developer and would like to use these tools in the future.  ,Eat food that I am not supposed to.  ,Per Syllabus
I would like to further my skills in R and start learning python!,I like to play Minecraft.,To be understanding.
I would love to learn tools for data collection and how to work in programs like R and Python  ,"I like to read, watch sports, and embroider!",To be transparent and teach in a way that works for them and their students
I'd like to learn gain a gain the computational skills to be able to incorporate R programming in my research.,running,NA
not sure,I make art (instagram is emilylaniusart if interested in seeing it),to answer any questions we have and help us learn  
I would like to learn more about R studio and handle it better than before!,I like to play computer games.  ,"I wish to reach out the instructor pretty easily (like by email or many office hours)

  "
I want to learn more about programming and build my knowledge from Biostatistics.,"Working out, playing basketball with friends, playing video games.",I expect Professor Guyot to be communicative and to provide adequate resources to help her students succeed in the class.
"How to program (in general), learn more about data and what we can do with it, and to use programs to manipulate data into more communicative forms","taekwondo, cafe hopping, painting, and eating","- to grade fairly

- to be organized, please! :)"
I took biostats spring semester sophomore year but have mostly forgotten what I learned so I'm looking forward to refreshing my memory and learning more about statistics.  ,I love to read and I love cooking. I also enjoy hiking and going to the park.  ,Good communication.  
machine learning,lift,none
how to use data,sing,"Guidance, smooth learning"
I want to grow my knowledge and skills with R studio as well as with Python.  ,Bake! I love to bake cookies and banana bread!,"I hope that the professor takes into consideration students' concern with attending in person classes given the fact that vaccinations and masks are not required. Additionally if classes do go in person, I hope that the professor can accommodate students' who are express concern with attending in person due to the virus."
"I would love to learn the basics of python, r, and other important things in data analytics because I am considering going into sports analytics.",I love to play sports with my friends.,No expectations! Just to have a great semester.
A strong introduction to data science! (my desired work field),"Play guitar, video games, and messing with datasets.",To teach me all they know about data science and to get the best out of me as a student.
Basics i guess. not sure,powerlifting,good communication and flexibility
"Better control of R and data science in python

  ",playing the ukulele,"kind, informed, and understanding."
How to use R,Reading fiction,I expect to learn more about R studio and how it can be applied to the sciences.
Using R at an advanced level,"Archery

Looking for precious gems and arrowheads",That they would come prepared for each lecture and take care that all of their students would be on track.
Applying R effectively  ,Making espresso!,Communicate well  
The R programming language,I like to watch Korean variety shows/dramas,
I would like to acquire solid foundational skills for Python.,I like to do origami for fun.,"I expect the instructor to be understanding and flexible with deadlines and course load under demanding, unforeseeable circumstances."
More about online statistical features,Read!,To be supportive and flexible in these weird times.
Just to pass lol,Hike,Just be available if I have questions
"I would like to learn more about data science in general.   I have some experience with R and Python, but I would like to learn new methods.   I know this is an introductory course, but I would also really appreciate any resources for self-study once the course is complete.   (I am a senior, so I won't be able to take any more classes after this one.)  

I have really enjoyed all of my probability/statistics/mathematics courses, and I also love to code!   I know that ""data science"" is very hot right now, but I am genuinely interested in it as a career.",Camping :),"I really enjoy instructors who are approachable, so I feel safe to go to them with questions.   It is also helpful when the instructor is organized, so that I can plan around any homework or exams.

So far, Professor Guyot has met my expectations!   I also had fun during our class activity and appreciated the opportunity to meet other students.   The class was very engaging, especially for Zoom :)"
I would like to become proficient in R and I would like to acquire skills that will help me better understand the world of data science!,"I love dancing! I have been dancing since the age of 4. I started doing Indian classical dance, continued until I was 16, and started dancing on my high school dance team! Now, I am a 2nd year dancer on UT Saaya, one of the coed bollywood fusion dance teams on campus!","My expectations from the instructor this semester are to thoroughly explain the content of the class, make all instructions clear, and make the class engaging!"
I would like to learn programming skills in relation to research.  ,"Babysit! I have a big family with many kids, so I have always been around children of all ages.  ",I expect the instructor to be understanding of the current circumstances many students are facing and willing to help.  
I want to learn how to use various analytics tools and methods.,"Watching movies, playing video games, and watching Japanese animations.",Hope everything will be explained in details and step by step.
I want more exposure to python and R programming with data science!,I love playing disc golf for fun!,Active teaching and encouraging the asking of questions!
